═════════════════════════════════════════════════════════════════════════════
MCP-RELAY AUDIT LOG - CISCO DEVICE DISCOVERY & AUTHENTICATION
═════════════════════════════════════════════════════════════════════════════
Project: Generativ AI i Nätverksmiljö - Automatisering av Cisco-konfiguration
Students: Marcus Winsnes, Tobias Nordström
University: Högskolan Väst (University West)
Program: NIT (Nätverksteknik och IT-säkerhet)
═════════════════════════════════════════════════════════════════════════════

[] SW1 | === BEGIN BASIC CONFIG + VLAN SETUP ===
[2026-03-04 17:31:02] SW1 | hostname SW1
[2026-03-04 17:31:02] SW1 | no ip domain-lookup
[2026-03-04 17:31:02] SW1 | banner motd #Authorized Access Only - SW1 MCP Lab#
[2026-03-04 17:31:02] SW1 | vlan 10 / name PC1-VLAN
[2026-03-04 17:31:02] SW1 | vlan 20 / name PC2-VLAN
[2026-03-04 17:31:02] SW1 | interface Gi1/0/2 / switchport mode access / switchport access vlan 10 / no shutdown
[2026-03-04 17:31:02] SW1 | interface Gi1/0/3 / switchport mode access / switchport access vlan 20 / no shutdown
[2026-03-04 17:31:02] SW1 | interface Gi1/0/1 / switchport mode trunk / switchport trunk allowed vlan 10,20 / no shutdown
[] R1 | === BEGIN BASIC CONFIG + ROUTER-ON-A-STICK ===
[2026-03-04 17:31:23] R1 | hostname R1
[2026-03-04 17:31:23] R1 | no ip domain-lookup
[2026-03-04 17:31:23] R1 | banner motd #Authorized Access Only - R1 MCP Lab#
[2026-03-04 17:31:23] R1 | interface GigabitEthernet0/0/0 / no shutdown
[2026-03-04 17:31:23] R1 | interface GigabitEthernet0/0/0.10 / encapsulation dot1Q 10 / ip address 192.168.0.1 255.255.255.0 / no shutdown
[2026-03-04 17:31:23] R1 | interface GigabitEthernet0/0/0.20 / encapsulation dot1Q 20 / ip address 192.168.1.1 255.255.255.0 / no shutdown
[2026-03-04 17:31:48] R1 | write memory - SAVED
[2026-03-04 17:31:48] SW1 | write memory - SAVED
[2026-03-04 17:32:11] VERIFY | R1 sub-interfaces up: Gi0/0/0.10=192.168.0.1, Gi0/0/0.20=192.168.1.1
[2026-03-04 17:32:11] VERIFY | SW1 trunk Gi1/0/1 active with VLANs 10,20
[2026-03-04 17:32:11] VERIFY | SW1 Gi1/0/2=VLAN10(PC1), Gi1/0/3=VLAN20(PC2)
[2026-03-04 17:32:11] === MEASURABLE GOAL 1 - CONFIGURATION COMPLETE ===
