═════════════════════════════════════════════════════════════════════════════
MCP-RELAY AUDIT LOG - CISCO DEVICE DISCOVERY & AUTHENTICATION
═════════════════════════════════════════════════════════════════════════════
Project: Generativ AI i Nätverksmiljö - Automatisering av Cisco-konfiguration
Students: Marcus Winsnes, Tobias Nordström
University: Högskolan Väst (University West)
Program: NIT (Nätverksteknik och IT-säkerhet)
═════════════════════════════════════════════════════════════════════════════

[2026-03-04 17:36:36] R1 | TROUBLESHOOTING: Found 3 issues
[2026-03-04 17:36:41] R1 | ISSUE 1: Gi0/0/0.10 subnet mask /26 excludes PC1 (192.168.0.99) - fixing to /24
[2026-03-04 17:36:45] R1 | ISSUE 2: ACL NO-CLANKERS-ALLOWED denies 192.168.0.99 on Gi0/0/0.20 out - removing
[2026-03-04 17:36:49] SW1 | ISSUE 3: Gi1/0/3 (PC2) in VLAN 30 instead of VLAN 20 - fixing
[2026-03-04 17:37:21] R1 | interface GigabitEthernet0/0/0.10
[2026-03-04 17:37:21] R1 | ip address 192.168.0.1 255.255.255.0
[2026-03-04 17:37:21] R1 | no ip access-list standard NO-CLANKERS-ALLOWED
[2026-03-04 17:37:21] R1 | interface GigabitEthernet0/0/0.20
[2026-03-04 17:37:21] R1 | no ip access-group NO-CLANKERS-ALLOWED out
[2026-03-04 17:37:38] SW1 | interface GigabitEthernet1/0/3
[2026-03-04 17:37:38] SW1 | switchport access vlan 20
[2026-03-04 17:38:22] VERIFICATION | R1 Gi0/0/0.10 = 192.168.0.1/24 (FIXED from /26)
[2026-03-04 17:38:22] VERIFICATION | R1 Gi0/0/0.20 = no ACL applied (FIXED - removed NO-CLANKERS-ALLOWED)
[2026-03-04 17:38:22] VERIFICATION | SW1 Gi1/0/3 = VLAN 20 (FIXED from VLAN 30)
[2026-03-04 17:38:22] VERIFICATION | Trunk Gi1/0/1 allows VLANs 10,20 - both active and forwarding
[2026-03-04 17:38:22] TASK 2 COMPLETE | All 3 issues resolved - PCs should now be able to ping each other
