═════════════════════════════════════════════════════════════════════════════
MCP-RELAY AUDIT LOG - CISCO DEVICE DISCOVERY & AUTHENTICATION
═════════════════════════════════════════════════════════════════════════════
Project: Generativ AI i Nätverksmiljö - Automatisering av Cisco-konfiguration
Students: Marcus Winsnes, Tobias Nordström
University: Högskolan Väst (University West)
Program: NIT (Nätverksteknik och IT-säkerhet)
═════════════════════════════════════════════════════════════════════════════

[2026-03-03 20:00:35] TASK2 | Starting troubleshooting: PC1 (192.168.0.99) cannot ping PC2 (192.168.1.99)
[2026-03-03 20:01:15] SW1 | interface GigabitEthernet1/0/3
[2026-03-03 20:01:15] SW1 | switchport access vlan 20
[2026-03-03 20:01:51] R1 | interface GigabitEthernet0/0/0.10
[2026-03-03 20:01:51] R1 | ip address 192.168.0.1 255.255.255.0
[2026-03-03 20:02:02] R1 | interface GigabitEthernet0/0/0.20
[2026-03-03 20:02:02] R1 | no ip access-group NO-CLANKERS-ALLOWED out
[2026-03-03 20:02:02] R1 | no ip access-list standard NO-CLANKERS-ALLOWED
[2026-03-03 20:02:17] R1 | show access-lists
[2026-03-03 20:02:34] TASK2 | COMPLETED - All 3 issues fixed and verified
[2026-03-03 20:02:34] TASK2 | FIX1: SW1 Gi1/0/3 moved from VLAN 30 to VLAN 20
[2026-03-03 20:02:34] TASK2 | FIX2: R1 Gi0/0/0.10 subnet mask corrected from /26 to /24
[2026-03-03 20:02:34] TASK2 | FIX3: R1 empty ACL NO-CLANKERS-ALLOWED removed from Gi0/0/0.20
