═════════════════════════════════════════════════════════════════════════════
MCP-RELAY AUDIT LOG - CISCO DEVICE DISCOVERY & AUTHENTICATION
═════════════════════════════════════════════════════════════════════════════
Project: Generativ AI i Nätverksmiljö - Automatisering av Cisco-konfiguration
Students: Marcus Winsnes, Tobias Nordström
University: Högskolan Väst (University West)
Program: NIT (Nätverksteknik och IT-säkerhet)
═════════════════════════════════════════════════════════════════════════════

[2026-03-05 18:22:56] 10.0.1.1 | hostname HEAD
[2026-03-05 18:22:56] 10.0.1.1 | no ip domain lookup
[2026-03-05 18:22:56] 10.0.1.1 | line con 0
[2026-03-05 18:22:56] 10.0.1.1 |  exec-timeout 60 0
[2026-03-05 18:22:56] 10.0.1.1 | line vty 0 4
[2026-03-05 18:22:56] 10.0.1.1 |  exec-timeout 60 0
[2026-03-05 18:22:56] 10.0.1.1 | interface GigabitEthernet0/0/0
[2026-03-05 18:22:56] 10.0.1.1 |  description TRUNK-TO-BODY
[2026-03-05 18:22:56] 10.0.1.1 |  no ip address
[2026-03-05 18:22:56] 10.0.1.1 |  no shutdown
[2026-03-05 18:22:56] 10.0.1.1 | interface GigabitEthernet0/0/0.12
[2026-03-05 18:22:56] 10.0.1.1 |  description VLAN12-BLUE-to-BODY
[2026-03-05 18:22:56] 10.0.1.1 |  encapsulation dot1Q 12
[2026-03-05 18:22:56] 10.0.1.1 |  ip address 192.168.12.1 255.255.255.0
[2026-03-05 18:22:56] 10.0.1.1 | interface GigabitEthernet0/0/0.21
[2026-03-05 18:22:56] 10.0.1.1 |  description VLAN21-BLUE-to-BODY
[2026-03-05 18:22:56] 10.0.1.1 |  encapsulation dot1Q 21
[2026-03-05 18:22:56] 10.0.1.1 |  ip address 192.168.21.1 255.255.255.0
[2026-03-05 18:22:56] 10.0.1.1 | interface GigabitEthernet0/0/0.14
[2026-03-05 18:22:56] 10.0.1.1 |  description VLAN14-GREEN-to-BODY
[2026-03-05 18:22:56] 10.0.1.1 |  encapsulation dot1Q 14
[2026-03-05 18:22:56] 10.0.1.1 |  ip address 172.16.14.1 255.255.255.0
[2026-03-05 18:22:56] 10.0.1.1 | interface GigabitEthernet0/0/0.41
[2026-03-05 18:22:56] 10.0.1.1 |  description VLAN41-GREEN-to-BODY
[2026-03-05 18:22:56] 10.0.1.1 |  encapsulation dot1Q 41
[2026-03-05 18:22:56] 10.0.1.1 |  ip address 172.16.41.1 255.255.255.0
[2026-03-05 18:22:56] 10.0.1.1 | interface Loopback8
[2026-03-05 18:22:56] 10.0.1.1 |  description Network-statement-Lo8
[2026-03-05 18:22:56] 10.0.1.1 |  ip address 8.8.8.8 255.255.255.0
[2026-03-05 18:22:56] 10.0.1.1 | interface Loopback11
[2026-03-05 18:22:56] 10.0.1.1 |  description HIDDEN-not-announced
[2026-03-05 18:22:56] 10.0.1.1 |  ip address 193.10.203.11 255.255.255.255
[2026-03-05 18:22:56] 10.0.1.1 | interface Loopback12
[2026-03-05 18:22:56] 10.0.1.1 |  description Redistribute-connected-Lo12
[2026-03-05 18:22:56] 10.0.1.1 |  ip address 12.12.11.11 255.255.255.0
[2026-03-05 18:23:18] 10.0.1.2 | hostname BODY
[2026-03-05 18:23:18] 10.0.1.2 | no ip domain lookup
[2026-03-05 18:23:18] 10.0.1.2 | line con 0
[2026-03-05 18:23:18] 10.0.1.2 |  exec-timeout 60 0
[2026-03-05 18:23:18] 10.0.1.2 | line vty 0 4
[2026-03-05 18:23:18] 10.0.1.2 |  exec-timeout 60 0
[2026-03-05 18:23:18] 10.0.1.2 | vrf definition blue
[2026-03-05 18:23:18] 10.0.1.2 |  rd 100:1
[2026-03-05 18:23:18] 10.0.1.2 |  address-family ipv4
[2026-03-05 18:23:18] 10.0.1.2 |  exit-address-family
[2026-03-05 18:23:18] 10.0.1.2 | vrf definition green
[2026-03-05 18:23:18] 10.0.1.2 |  rd 200:1
[2026-03-05 18:23:18] 10.0.1.2 |  address-family ipv4
[2026-03-05 18:23:18] 10.0.1.2 |  exit-address-family
[2026-03-05 18:23:18] 10.0.1.2 | vlan 12
[2026-03-05 18:23:18] 10.0.1.2 |  name BLUE-HEAD-BODY-12
[2026-03-05 18:23:18] 10.0.1.2 | vlan 21
[2026-03-05 18:23:18] 10.0.1.2 |  name BLUE-HEAD-BODY-21
[2026-03-05 18:23:18] 10.0.1.2 | vlan 14
[2026-03-05 18:23:18] 10.0.1.2 |  name GREEN-HEAD-BODY-14
[2026-03-05 18:23:18] 10.0.1.2 | vlan 41
[2026-03-05 18:23:18] 10.0.1.2 |  name GREEN-HEAD-BODY-41
[2026-03-05 18:23:18] 10.0.1.2 | vlan 23
[2026-03-05 18:23:18] 10.0.1.2 |  name BLUE-BODY-TAIL-23
[2026-03-05 18:23:18] 10.0.1.2 | vlan 45
[2026-03-05 18:23:18] 10.0.1.2 |  name GREEN-BODY-TAIL-45
[2026-03-05 18:23:18] 10.0.1.2 | interface GigabitEthernet1/0/1
[2026-03-05 18:23:18] 10.0.1.2 |  description TRUNK-TO-HEAD
[2026-03-05 18:23:18] 10.0.1.2 |  switchport trunk encapsulation dot1q
[2026-03-05 18:23:18] 10.0.1.2 |  switchport mode trunk
[2026-03-05 18:23:18] 10.0.1.2 |  switchport trunk allowed vlan 12,14,21,41
[2026-03-05 18:23:18] 10.0.1.2 |  no shutdown
[2026-03-05 18:23:18] 10.0.1.2 | interface GigabitEthernet1/0/2
[2026-03-05 18:23:18] 10.0.1.2 |  description TRUNK-TO-TAIL
[2026-03-05 18:23:18] 10.0.1.2 |  switchport trunk encapsulation dot1q
[2026-03-05 18:23:18] 10.0.1.2 |  switchport mode trunk
[2026-03-05 18:23:18] 10.0.1.2 |  switchport trunk allowed vlan 23,45
